"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"3843","100611 (3843)","3918","100625 (3918)","1/1/2017 - 3/31/2017, Every day, Daily Average",134,67,264
"3843","100611 (3843)","3919","100131 (3919)","1/1/2017 - 3/31/2017, Every day, Daily Average",429,284,647
"3843","100611 (3843)","3920","406751 (3920)","1/1/2017 - 3/31/2017, Every day, Daily Average",1710,1338,2185
"3843","100611 (3843)","3922","100761 (3922)","1/1/2017 - 3/31/2017, Every day, Daily Average",233,136,396
"3843","100611 (3843)","3925","100554 (3925)","1/1/2017 - 3/31/2017, Every day, Daily Average",487,340,695
"3843","100611 (3843)","3927","100626 (3927)","1/1/2017 - 3/31/2017, Every day, Daily Average",128,73,222
"3843","100611 (3843)","3928","100125 (3928)","1/1/2017 - 3/31/2017, Every day, Daily Average",369,246,553
"3843","100611 (3843)","3930","406701 (3930)","1/1/2017 - 3/31/2017, Every day, Daily Average",1502,1087,2073
"3843","100611 (3843)","3931","100464 (3931)","1/1/2017 - 3/31/2017, Every day, Daily Average",860,658,1123
"3843","100611 (3843)","3934","100627 (3934)","1/1/2017 - 3/31/2017, Every day, Daily Average",230,135,390
"3843","100611 (3843)","3935","100402 (3935)","1/1/2017 - 3/31/2017, Every day, Daily Average",668,474,939
"3843","100611 (3843)","3936","100629 (3936)","1/1/2017 - 3/31/2017, Every day, Daily Average",290,174,481
"3843","100611 (3843)","3938","100443 (3938)","1/1/2017 - 3/31/2017, Every day, Daily Average",979,752,1273
"3843","100611 (3843)","3941","100422 (3941)","1/1/2017 - 3/31/2017, Every day, Daily Average",1022,801,1303
"3843","100611 (3843)","3943","10062A (3943)","1/1/2017 - 3/31/2017, Every day, Daily Average",332,220,500
"3843","100611 (3843)","3945","100413 (3945)","1/1/2017 - 3/31/2017, Every day, Daily Average",1121,886,1417
"3843","100611 (3843)","3946","100621 (3946)","1/1/2017 - 3/31/2017, Every day, Daily Average",362,247,529
"3843","100611 (3843)","3949","100403 (3949)","1/1/2017 - 3/31/2017, Every day, Daily Average",478,331,689
"3843","100611 (3843)","3950","406420 (3950)","1/1/2017 - 3/31/2017, Every day, Daily Average",1630,1270,2090
"3843","100611 (3843)","3951","100624 (3951)","1/1/2017 - 3/31/2017, Every day, Daily Average",448,309,648
"3843","100611 (3843)","3952","100401 (3952)","1/1/2017 - 3/31/2017, Every day, Daily Average",943,705,1260
"3843","100611 (3843)","3953","100628 (3953)","1/1/2017 - 3/31/2017, Every day, Daily Average",263,174,395
"3843","100611 (3843)","3958","100631 (3958)","1/1/2017 - 3/31/2017, Every day, Daily Average",498,354,699
"3843","100611 (3843)","3959","100751 (3959)","1/1/2017 - 3/31/2017, Every day, Daily Average",262,152,450
"3843","100611 (3843)","3960","406435 (3960)","1/1/2017 - 3/31/2017, Every day, Daily Average",1674,1309,2139
"3843","100611 (3843)","3966","100632 (3966)","1/1/2017 - 3/31/2017, Every day, Daily Average",545,398,746
"3843","100611 (3843)","3967","406522 (3967)","1/1/2017 - 3/31/2017, Every day, Daily Average",1525,1116,2082
"3843","100611 (3843)","3969","100782 (3969)","1/1/2017 - 3/31/2017, Every day, Daily Average",613,437,858
"3843","100611 (3843)","3970","100634 (3970)","1/1/2017 - 3/31/2017, Every day, Daily Average",598,441,810
"3843","100611 (3843)","3972","100623 (3972)","1/1/2017 - 3/31/2017, Every day, Daily Average",488,335,709
"3843","100611 (3843)","3977","100633 (3977)","1/1/2017 - 3/31/2017, Every day, Daily Average",666,493,898
"3843","100611 (3843)","3978","10062B (3978)","1/1/2017 - 3/31/2017, Every day, Daily Average",403,275,590
"3843","100611 (3843)","3981","100622 (3981)","1/1/2017 - 3/31/2017, Every day, Daily Average",454,322,638
"3843","100611 (3843)","3982","100772 (3982)","1/1/2017 - 3/31/2017, Every day, Daily Average",373,232,598
"3843","100611 (3843)","3985","100762 (3985)","1/1/2017 - 3/31/2017, Every day, Daily Average",280,183,427
"3843","100611 (3843)","3987","406162 (3987)","1/1/2017 - 3/31/2017, Every day, Daily Average",2245,1822,2765
"3843","100611 (3843)","3988","100773 (3988)","1/1/2017 - 3/31/2017, Every day, Daily Average",344,215,550
"3843","100611 (3843)","3989","100771 (3989)","1/1/2017 - 3/31/2017, Every day, Daily Average",415,263,654
"3843","100611 (3843)","3990","10062C (3990)","1/1/2017 - 3/31/2017, Every day, Daily Average",333,228,484
"3843","100611 (3843)","3991","100641 (3991)","1/1/2017 - 3/31/2017, Every day, Daily Average",642,478,861
"3843","100611 (3843)","3992","100752 (3992)","1/1/2017 - 3/31/2017, Every day, Daily Average",299,198,450
"3843","100611 (3843)","3993","10062D (3993)","1/1/2017 - 3/31/2017, Every day, Daily Average",447,317,629
"3843","100611 (3843)","3994","100691 (3994)","1/1/2017 - 3/31/2017, Every day, Daily Average",384,266,553
"3843","100611 (3843)","3996","100651 (3996)","1/1/2017 - 3/31/2017, Every day, Daily Average",544,395,748
"3843","100611 (3843)","3997","406520 (3997)","1/1/2017 - 3/31/2017, Every day, Daily Average",1584,1140,2199
"3843","100611 (3843)","4000","100646 (4000)","1/1/2017 - 3/31/2017, Every day, Daily Average",700,527,929
"3843","100611 (3843)","4003","100763 (4003)","1/1/2017 - 3/31/2017, Every day, Daily Average",310,204,470
"3843","100611 (3843)","4005","100652 (4005)","1/1/2017 - 3/31/2017, Every day, Daily Average",518,369,726
"3843","100611 (3843)","4006","406713 (4006)","1/1/2017 - 3/31/2017, Every day, Daily Average",1832,1463,2293
"3843","100611 (3843)","4007","406521 (4007)","1/1/2017 - 3/31/2017, Every day, Daily Average",1511,1095,2084
"3843","100611 (3843)","4008","100781 (4008)","1/1/2017 - 3/31/2017, Every day, Daily Average",706,511,973
"3843","100611 (3843)","4011","100642 (4011)","1/1/2017 - 3/31/2017, Every day, Daily Average",683,513,908
"3843","100611 (3843)","4012","100811 (4012)","1/1/2017 - 3/31/2017, Every day, Daily Average",809,583,1121
"3843","100611 (3843)","4013","100693 (4013)","1/1/2017 - 3/31/2017, Every day, Daily Average",485,341,689
"3843","100611 (3843)","4017","100645 (4017)","1/1/2017 - 3/31/2017, Every day, Daily Average",776,583,1032
"3843","100611 (3843)","4019","100754 (4019)","1/1/2017 - 3/31/2017, Every day, Daily Average",380,265,544
"3843","100611 (3843)","4020","100764 (4020)","1/1/2017 - 3/31/2017, Every day, Daily Average",337,231,490
"3843","100611 (3843)","4022","100661 (4022)","1/1/2017 - 3/31/2017, Every day, Daily Average",790,584,1067
"3843","100611 (3843)","4024","100663 (4024)","1/1/2017 - 3/31/2017, Every day, Daily Average",730,526,1011
"3843","100611 (3843)","4025","100662 (4025)","1/1/2017 - 3/31/2017, Every day, Daily Average",824,613,1107
"3843","100611 (3843)","4026","101131 (4026)","1/1/2017 - 3/31/2017, Every day, Daily Average",746,545,1020
"3843","100611 (3843)","4028","101136 (4028)","1/1/2017 - 3/31/2017, Every day, Daily Average",830,609,1130
"3843","100611 (3843)","4031","101141 (4031)","1/1/2017 - 3/31/2017, Every day, Daily Average",939,699,1260
"3843","100611 (3843)","4032","100653 (4032)","1/1/2017 - 3/31/2017, Every day, Daily Average",683,501,930
"3843","100611 (3843)","4033","100821 (4033)","1/1/2017 - 3/31/2017, Every day, Daily Average",764,554,1051
"3843","100611 (3843)","4034","100643 (4034)","1/1/2017 - 3/31/2017, Every day, Daily Average",755,553,1029
"3843","100611 (3843)","4037","101146 (4037)","1/1/2017 - 3/31/2017, Every day, Daily Average",1078,820,1415
"3843","100611 (3843)","4038","100826 (4038)","1/1/2017 - 3/31/2017, Every day, Daily Average",688,506,935
"3843","100611 (3843)","4039","101151 (4039)","1/1/2017 - 3/31/2017, Every day, Daily Average",1009,767,1326
"3843","100611 (3843)","4041","100827 (4041)","1/1/2017 - 3/31/2017, Every day, Daily Average",471,311,712
"3843","100611 (3843)","4043","100692 (4043)","1/1/2017 - 3/31/2017, Every day, Daily Average",475,343,657
"3843","100611 (3843)","4044","101157 (4044)","1/1/2017 - 3/31/2017, Every day, Daily Average",1132,866,1479
"3843","100611 (3843)","4045","100831 (4045)","1/1/2017 - 3/31/2017, Every day, Daily Average",445,285,693
"3843","100611 (3843)","4046","101161 (4046)","1/1/2017 - 3/31/2017, Every day, Daily Average",1115,846,1469
"3843","100611 (3843)","4047","100665 (4047)","1/1/2017 - 3/31/2017, Every day, Daily Average",841,639,1105
"3843","100611 (3843)","4048","100835 (4048)","1/1/2017 - 3/31/2017, Every day, Daily Average",574,408,806
"3843","100611 (3843)","4050","101171 (4050)","1/1/2017 - 3/31/2017, Every day, Daily Average",1166,903,1504
"3843","100611 (3843)","4051","100664 (4051)","1/1/2017 - 3/31/2017, Every day, Daily Average",831,615,1121
"3843","100611 (3843)","4052","100644 (4052)","1/1/2017 - 3/31/2017, Every day, Daily Average",824,622,1089
"3843","100611 (3843)","4053","100813 (4053)","1/1/2017 - 3/31/2017, Every day, Daily Average",829,588,1167
"3843","100611 (3843)","4055","101132 (4055)","1/1/2017 - 3/31/2017, Every day, Daily Average",809,591,1106
